Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C2, C6, C7",0402,10,0.1uF,C1525
"C10, C9",0805,2,10uF,C15850
"C3, C4, C5",1206,3,10uF,C89632
C8,0805,1,0.1uF,C1711
D1,Nexperia_CFP15_SOT-1289,1,PMEG045V100EPD,C5183016
"D2, D5",0603,2,RED LED,C94869
D3,D_SOD-323,1,1N4148,C2128
D4,0603,1,GREEN LED,C125101
"D6, D7",D_SOD-128,2,PMEG10030,C5260346
D8,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B,C965555
L1,L_Changjiang_FNR4030S,1,12uH,C167880
Q1,SOT-23-3,1,MBT2222,C82460
"R1, R13, R14, R2",0402,4,68R,C25131
"R10, R9",0603,2,100R,C105588
"R11, R12, R4, R6",0603,4,10k,C98220
"R15, R16",0603,2,4.7k,C99782
"R3, R5, R7, R8",0603,4,1k,C22548
SW1,SW_DIP_SPSTx02_Slide_KingTek_DSHP02TS_W7.62mm_P1.27mm,1,SW_DIP_x02,C7462922
"U2, U4, U6, U7, U9",VSSOP-8_2.4x2.1mm_P0.5mm,5,SN74LVC2T45DCUR,C15741
U5,SOT-23-5,1,RT9080-3.3,C841192
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,AO4882,C477943
