Designator,Mid X,Mid Y,Rotation,Layer
C1,127.353,-66.7512,180.0,top
C10,138.872,-109.5955,180.0,top
C11,107.033,-66.7512,180.0,top
C12,107.033,-69.85,180.0,top
C13,107.287,-110.998,180.0,top
C14,107.343,-114.3,180.0,top
C15,96.873,-66.7512,180.0,top
C16,96.873,-69.85,180.0,top
C2,127.353,-69.85,180.0,top
C3,130.175,-120.269,180.0,top
C4,130.175,-117.729,180.0,top
C5,130.175,-115.189,180.0,top
C6,117.193,-66.7512,180.0,top
C7,117.193,-69.85,180.0,top
C8,146.05,-73.025,180.0,top
C9,137.16,-112.903,90.0,top
D1,123.844,-131.812,90.0,top
D2,92.454,-80.6505,180.0,top
D3,92.454,-84.2065,0.0,top
D4,130.712,-104.307,270.0,top
D5,133.448,-104.307,270.0,top
D6,114.3,-127.508,315.0,top
D7,100.076,-127.508,315.0,top
D8,154.898,-97.637,270.0,top
L1,130.048,-124.206,0.0,top
Q1,92.454,-89.408,270.0,top
R1,115.062,-65.024,270.0,top
R10,99.314,-112.649,90.0,top
R11,97.282,-112.649,270.0,top
R12,101.346,-112.649,270.0,top
R13,94.742,-65.022,270.0,top
R14,93.726,-65.02,270.0,top
R15,144.907,-102.87,270.0,top
R16,143.002,-102.87,90.0,top
R2,114.046,-65.024,270.0,top
R3,92.454,-82.1745,0.0,top
R4,134.62,-113.1515,270.0,top
R5,92.454,-86.2385,180.0,top
R6,92.454,-92.3345,180.0,top
R7,128.016,-104.287,90.0,top
R8,136.144,-104.287,270.0,top
R9,95.25,-112.649,90.0,top
SW1,153.924,-73.787,180.0,top
U2,124.726,-68.3,90.0,top
U4,114.566,-68.3,90.0,top
U5,140.716,-112.776,270.0,top
U6,104.406,-68.3,90.0,top
U7,104.775,-112.649,90.0,top
U8,89.281,-111.252,180.0,top
U9,94.246,-68.3,90.0,top
